player;round;unité;att/def;couleur;critique;touche;adrenaline;block;miss;statJoueur;statGeneral;statValue
b;1;veers;att;r;0;0;1;0;0;7;6,125;0,533333333
b;1;veers;att;r;0;1;0;0;0;;;
b;1;veers;att;r;0;1;0;0;0;;;
b;1;veers;att;r;0;1;0;0;0;;;
b;1;veers;att;r;0;1;0;0;0;;;
b;1;veers;att;r;0;1;0;0;0;;;
b;1;veers;att;r;0;1;0;0;0;;;
r;1;yoda;def;r;0;0;0;1;0;1;0,667;0,599880024
r;1;chew;def;w;0;0;0;0;1;0;0,167;0
b;1;snipe;att;b;1;0;0;0;0;2;1;0,666666667
b;1;snipe;att;b;0;0;1;0;0;;;
r;1;snipe;att;r;0;1;0;0;0;2;1,75;0,533333333
r;1;snipe;att;r;0;0;1;0;0;;;
b;1;storm;def;r;0;0;0;1;0;1;0,5;0,666666667
b;1;garde;def;r;0;0;0;0;1;0;0,5;0
b;1;shore;att;b;0;1;0;0;0;4;3;0,571428571
b;1;shore;att;b;0;1;0;0;0;;;
b;1;shore;att;w;0;0;1;0;0;;;
b;1;shore;att;w;0;0;0;0;1;;;
b;1;shore;att;b;0;1;0;0;0;;;
b;1;shore;att;w;0;0;0;0;1;;;
r;1;yoda;def;r;0;0;1;0;0;1;0,667;0,599880024
b;1;dew;att;w;0;0;0;0;1;2;1,175;0,62992126
b;1;dew;att;w;0;0;0;0;1;;;
b;1;dew;att;w;0;0;1;0;0;;;
b;1;dew;att;w;0;1;0;0;0;;;
r;1;yoda;def;r;0;0;0;1;0;1;0,667;0,599880024
b;2;shore;att;b;0;0;0;0;1;5;5,75;0,465116279
b;2;shore;att;b;0;0;0;0;1;;;
b;2;shore;att;b;0;1;0;0;0;;;
b;2;shore;att;b;0;1;0;0;0;;;
b;2;shore;att;b;0;0;1;0;0;;;
b;2;shore;att;b;1;0;0;0;0;;;
b;2;shore;att;w;0;0;0;0;1;;;
b;2;shore;att;w;0;0;0;0;1;;;
b;2;shore;att;b;0;0;1;0;0;;;
b;2;shore;att;b;0;0;0;0;1;;;
r;2;chew;def;r;0;0;0;1;0;1;1,5;0,4
r;2;chew;def;r;0;0;0;0;1;;;
r;2;chew;def;r;0;0;0;0;1;;;
b;2;dew;att;r;0;1;0;0;0;5;4,5;0,526315789
b;2;dew;att;r;0;1;0;0;0;;;
b;2;dew;att;r;0;1;0;0;0;;;
b;2;dew;att;w;0;0;0;0;1;;;
b;2;dew;att;w;0;0;0;0;1;;;
b;2;dew;att;w;0;0;1;0;0;;;
b;2;dew;att;w;0;0;1;0;0;;;
b;2;dew;att;w;0;0;1;0;0;;;
r;2;chew;def;r;0;0;0;1;0;3;3;0,5
r;2;chew;def;r;0;0;0;1;0;;;
r;2;chew;def;r;0;0;0;1;0;;;
r;2;chew;def;r;0;0;0;0;1;;;
r;2;chew;def;r;0;0;0;0;1;;;
r;2;chew;def;r;0;0;1;0;0;;;
r;2;yoda;att;r;0;0;0;0;1;3;3,5;0,461538462
r;2;yoda;att;r;0;0;1;0;0;;;
r;2;yoda;att;r;0;1;0;0;0;;;
r;2;yoda;att;r;0;1;0;0;0;;;
b;2;dew;def;r;0;0;0;1;0;2;1;0,666666667
b;2;dew;def;r;0;0;0;1;0;;;
r;2;yoda;att;r;0;0;0;0;1;3;3,5;0,461538462
r;2;yoda;att;r;0;0;1;0;0;;;
r;2;yoda;att;r;0;0;1;0;0;;;
r;2;yoda;att;r;0;1;0;0;0;;;
b;2;shore;def;r;0;0;0;0;1;1;1,5;0,4
b;2;shore;def;r;0;0;0;0;1;;;
b;2;shore;def;r;0;0;0;1;0;;;
r;2;supress;def;w;0;0;0;1;0;2;0,66;0,751879699
r;2;supress;def;w;0;0;0;1;0;;;
r;2;snipe;att;r;0;1;0;0;0;2;1,75;0,533333333
r;2;snipe;att;r;0;1;0;0;0;;;
b;2;storm;def;r;0;0;1;0;0;1;1;0,5
b;2;storm;def;r;0;0;0;1;0;;;
b;2;shore;att;b;1;0;0;0;0;5;4,2;0,543478261
b;2;shore;att;b;0;1;0;0;0;;;
b;2;shore;att;w;0;0;1;0;0;;;
b;2;shore;att;w;0;0;0;0;1;;;
b;2;shore;att;b;0;0;1;0;0;;;
b;2;shore;att;w;0;0;0;0;1;;;
b;2;shore;att;b;0;1;0;0;0;;;
b;2;shore;att;w;0;0;0;0;1;;;
r;2;snipe;def;r;0;0;0;1;0;2;1;0,666666667
r;2;snipe;def;r;0;0;0;1;0;;;
b;2;snipe;att;b;0;1;0;0;0;2;1,5;0,571428571
b;2;snipe;att;b;0;1;0;0;0;;;
b;2;snipe;att;b;0;0;1;0;0;;;
r;2;speeder;att;r;0;1;0;0;0;3;3,875;0,436363636
r;2;speeder;att;b;0;1;0;0;0;;;
r;2;speeder;att;b;0;0;0;0;1;;;
r;2;speeder;att;b;0;0;0;0;1;;;
r;2;speeder;att;w;1;0;0;0;0;;;
r;2;speeder;att;w;0;0;0;0;1;;;
r;2;speeder;att;w;0;0;0;0;1;;;
b;2;shore;def;r;0;0;0;1;0;2;1;0,666666667
b;2;shore;def;r;0;0;0;1;0;;;
b;2;mortar;att;w;1;0;0;0;0;2;1,875;0,516129032
b;2;mortar;att;w;0;1;0;0;0;;;
b;2;mortar;att;w;0;0;0;0;1;;;
b;2;mortar;att;w;0;0;0;0;1;;;
b;2;mortar;att;w;0;0;0;0;1;;;
r;2;speeder;def;r;0;0;0;0;1;;;
b;2;snipe;att;b;1;0;0;0;0;1;1;0,5
b;2;snipe;att;b;0;0;0;0;1;;;
r;2;speeder;def;r;0;0;0;1;0;1;0,75;0,571428571
b;2;garde;att;r;0;1;0;0;0;6;6;0,5
b;2;garde;att;r;0;1;0;0;0;;;
b;2;garde;att;r;0;0;0;0;1;;;
b;2;garde;att;b;1;0;0;0;0;;;
b;2;garde;att;b;1;0;0;0;0;;;
b;2;garde;att;b;0;0;1;0;0;;;
b;2;garde;att;b;0;1;0;0;0;;;
b;2;garde;att;b;0;0;0;0;1;;;
b;2;garde;att;r;1;0;0;0;0;;;
b;2;garde;att;b;0;0;0;0;1;;;
r;2;chew;def;r;0;0;0;1;0;2;2,5;0,444444444
r;2;chew;def;r;0;0;0;1;0;;;
r;2;chew;def;r;0;0;0;0;1;;;
r;2;chew;def;r;0;0;0;0;1;;;
r;2;chew;def;r;0;0;0;0;1;;;
b;2;dew;att;w;0;0;0;0;1;3;3;0,5
b;2;dew;att;w;0;0;0;0;1;;;
b;2;dew;att;w;0;0;1;0;0;;;
b;2;dew;att;w;1;0;0;0;0;;;
b;2;dew;att;w;0;0;0;0;1;;;
b;2;dew;att;w;0;0;0;0;1;;;
b;2;dew;att;w;1;0;0;0;0;;;
b;2;dew;att;w;0;1;0;0;0;;;
r;2;speeder;def;r;0;0;1;0;0;1;1;0,5
r;2;speeder;def;r;0;0;0;1;0;;;
r;3;chew;att;r;0;1;0;0;0;3;3,5;0,461538462
r;3;chew;att;r;0;1;0;0;0;;;
r;3;chew;att;r;0;1;0;0;0;;;
r;3;chew;att;r;0;0;0;0;1;;;
b;3;garde;def;r;0;0;0;1;0;2;1,5;0,571428571
b;3;garde;def;r;0;0;0;1;0;;;
b;3;garde;def;r;0;0;0;0;1;;;
b;3;garde;att;r;0;1;0;0;0;3;3,5;0,461538462
b;3;garde;att;r;0;1;0;0;0;;;
b;3;garde;att;b;0;1;0;0;0;;;
b;3;garde;att;b;0;0;0;0;1;;;
b;3;garde;att;b;0;0;0;0;1;;;
b;3;garde;att;b;0;0;0;0;1;;;
r;3;chew;def;w;0;0;1;0;0;0;0,333;0
r;3;chew;def;w;0;0;0;0;1;;;
r;3;yoda;att;r;1;0;0;0;0;4;3,5;0,533333333
r;3;yoda;att;r;1;0;0;0;0;;;
r;3;yoda;att;r;1;0;0;0;0;;;
r;3;yoda;att;r;1;0;0;0;0;;;
b;3;shore;def;r;0;0;0;1;0;3;2;0,6
b;3;shore;def;r;0;0;0;1;0;;;
b;3;shore;def;r;0;0;0;1;0;;;
b;3;shore;def;r;0;0;0;0;1;;;
r;3;yoda;att;r;1;0;0;0;0;3;3,5;0,461538462
r;3;yoda;att;r;1;0;0;0;0;;;
r;3;yoda;att;r;0;1;0;0;0;;;
r;3;yoda;att;r;0;0;0;0;1;;;
b;3;shore;def;r;0;0;1;0;0;0;1,5;0
b;3;shore;def;r;0;0;1;0;0;;;
b;3;shore;def;r;0;0;0;0;1;;;
b;3;shore;att;b;1;0;0;0;0;4;3;0,571428571
b;3;shore;att;b;0;1;0;0;0;;;
b;3;shore;att;b;0;1;0;0;0;;;
b;3;shore;att;w;0;0;1;0;0;;;
b;3;shore;att;w;0;0;0;0;1;;;
b;3;shore;att;w;0;0;0;0;1;;;
r;3;speeder;def;r;0;0;0;1;0;2;1;0,666666667
r;3;speeder;def;r;0;0;0;1;0;;;
